gene,scenario,supported,shared,median_density,mean_absolute_change,max_absolute_change
LDLR,1N7D_ca_h2,1217,1114,0.14725732259399205,0.023762292180264776,0.1526708561254286
LDLR,1N7D_ca_h3,1217,1114,0.16155668090149336,0.014601396135205634,0.11788873326233129
LDLR,1N7D_ca_h5,1217,1114,0.1670154065311357,0.021500803829563497,0.13294109492640196
LDLR,1N7D_com_h2,1139,1040,0.14557798346171488,0.028143977550701995,0.21457309917330813
LDLR,1N7D_com_h3,1139,1040,0.1645391953776645,0.010040401190636204,0.06999407464670959
LDLR,1N7D_com_h5,1139,1040,0.1737066370748443,0.019112984165765186,0.11010105269709036
LDLR,AF_P01130_ca_h2,1206,1206,0.14551052283448862,0.022367617886319257,0.13133799467366022
LDLR,AF_P01130_ca_h3,1206,1206,0.16182906739241137,0.01251445162600924,0.07979651121295178
LDLR,AF_P01130_ca_h5,1206,1206,0.16960914026670937,0.02013869856211308,0.13609960494162698
LDLR,AF_P01130_com_h2,1206,1206,0.14510249830949548,0.02388475309398852,0.27597066228014644
LDLR,AF_P01130_com_h3,1206,1206,0.16254290353622652,0.0,0.0
LDLR,AF_P01130_com_h5,1206,1206,0.17099818542995016,0.017434669428596946,0.13948748338506126
LDLR,AF_domains_ca_h2,1206,1206,0.14531257887586208,0.02394796214724801,0.1573339430443598
LDLR,AF_domains_ca_h3,1206,1206,0.161896833300687,0.013520644923224112,0.07886151328993521
LDLR,AF_domains_ca_h5,1206,1206,0.16958053110312077,0.019500032462648254,0.12835064610657795
LDLR,AF_domains_com_h2,1206,1206,0.1435047425833179,0.025894961823306667,0.2872834134559872
LDLR,AF_domains_com_h3,1206,1206,0.16162483443816153,0.0036674894370734208,0.07910331584570984
LDLR,AF_domains_com_h5,1206,1206,0.17221965172032214,0.016333814204229115,0.12135132786133374
