probe_type,probe_label,polymer_b_angstrom,polymer_nu,sequence_separation,distance_angstrom,kernel,analysis_role,midpoint_or_half_distance_angstrom,weight,weight_at_zero,relative_to_zero_weight
distance_probe,25A,,,,25.0,normalized_sigmoid,positive_tail_sensitivity,2.0,2.172770418408938e-06,1.0,2.172770418408938e-06
distance_probe,25A,,,,25.0,normalized_sigmoid,primary,3.0,0.0002113360793244921,1.0,0.0002113360793244921
distance_probe,25A,,,,25.0,normalized_sigmoid,positive_tail_sensitivity,5.0,0.008196721311475403,1.0,0.008196721311475403
distance_probe,40A,,,,40.0,historical_sine_pi_cleanup,historical_reference_only,2.0,0.0,0.9207354924039483,0.0
distance_probe,40A,,,,40.0,historical_sine_pi_cleanup,historical_reference_only,3.0,0.0,0.9987474933020273,0.0
distance_probe,40A,,,,40.0,historical_sine_pi_cleanup,historical_reference_only,5.0,0.0,1.0,0.0
distance_probe,40A,,,,40.0,normalized_sigmoid,positive_tail_sensitivity,2.0,5.735943979939814e-10,1.0,5.735943979939814e-10
distance_probe,40A,,,,40.0,normalized_sigmoid,primary,3.0,8.697873301861758e-07,1.0,8.697873301861758e-07
distance_probe,40A,,,,40.0,normalized_sigmoid,positive_tail_sensitivity,5.0,0.00030478512648582725,1.0,0.00030478512648582725
distance_probe,adjacent_baseline,,,,3.8,historical_sine_pi_cleanup,historical_reference_only,2.0,0.10833654518625835,0.9207354924039483,0.11766304881264267
distance_probe,adjacent_baseline,,,,3.8,historical_sine_pi_cleanup,historical_reference_only,3.0,0.3052908288456748,0.9987474933020273,0.30567368718626964
distance_probe,adjacent_baseline,,,,3.8,historical_sine_pi_cleanup,historical_reference_only,5.0,0.7823212366975177,1.0,0.7823212366975177
distance_probe,adjacent_baseline,,,,3.8,normalized_sigmoid,positive_tail_sensitivity,2.0,0.22066223489622444,1.0,0.22066223489622444
distance_probe,adjacent_baseline,,,,3.8,normalized_sigmoid,primary,3.0,0.3983126917792431,1.0,0.3983126917792431
distance_probe,adjacent_baseline,,,,3.8,normalized_sigmoid,positive_tail_sensitivity,5.0,0.6052008413896615,1.0,0.6052008413896615
distance_probe,two_apart_baseline,,,,5.374011537017761,historical_sine_pi_cleanup,historical_reference_only,2.0,0.0,0.9207354924039483,0.0
distance_probe,two_apart_baseline,,,,5.374011537017761,historical_sine_pi_cleanup,historical_reference_only,3.0,0.036374014194138604,0.9987474933020273,0.03641963002468221
distance_probe,two_apart_baseline,,,,5.374011537017761,historical_sine_pi_cleanup,historical_reference_only,5.0,0.40704114761717985,1.0,0.40704114761717985
distance_probe,two_apart_baseline,,,,5.374011537017761,normalized_sigmoid,positive_tail_sensitivity,2.0,0.09928625974930379,1.0,0.09928625974930379
distance_probe,two_apart_baseline,,,,5.374011537017761,normalized_sigmoid,primary,3.0,0.24521095661658243,1.0,0.24521095661658243
distance_probe,two_apart_baseline,,,,5.374011537017761,normalized_sigmoid,positive_tail_sensitivity,5.0,0.4698199960810216,1.0,0.4698199960810216
distance_probe,three_apart_baseline,,,,6.581793068761733,historical_sine_pi_cleanup,historical_reference_only,2.0,0.0,0.9207354924039483,0.0
distance_probe,three_apart_baseline,,,,6.581793068761733,historical_sine_pi_cleanup,historical_reference_only,3.0,0.0,0.9987474933020273,0.0
distance_probe,three_apart_baseline,,,,6.581793068761733,historical_sine_pi_cleanup,historical_reference_only,5.0,0.14450799581216034,1.0,0.14450799581216034
distance_probe,three_apart_baseline,,,,6.581793068761733,normalized_sigmoid,positive_tail_sensitivity,2.0,0.052401385892748724,1.0,0.052401385892748724
distance_probe,three_apart_baseline,,,,6.581793068761733,normalized_sigmoid,primary,3.0,0.16478435640742894,1.0,0.16478435640742894
distance_probe,three_apart_baseline,,,,6.581793068761733,normalized_sigmoid,positive_tail_sensitivity,5.0,0.38118410776256834,1.0,0.38118410776256834
distance_probe,sine_a2_cutoff,,,,5.141592653589793,historical_sine_pi_cleanup,historical_reference_only,2.0,0.0,0.9207354924039483,0.0
distance_probe,sine_a2_cutoff,,,,5.141592653589793,historical_sine_pi_cleanup,historical_reference_only,3.0,0.061208719054813676,0.9987474933020273,0.061285479528411485
distance_probe,sine_a2_cutoff,,,,5.141592653589793,historical_sine_pi_cleanup,historical_reference_only,5.0,0.4646313991661486,1.0,0.4646313991661486
distance_probe,sine_a2_cutoff,,,,5.141592653589793,normalized_sigmoid,positive_tail_sensitivity,2.0,0.11204928358213885,1.0,0.11204928358213885
distance_probe,sine_a2_cutoff,,,,5.141592653589793,normalized_sigmoid,primary,3.0,0.26411860902506656,1.0,0.26411860902506656
distance_probe,sine_a2_cutoff,,,,5.141592653589793,normalized_sigmoid,positive_tail_sensitivity,5.0,0.4884243095439664,1.0,0.4884243095439664
distance_probe,sine_a2_beyond_cutoff,,,,5.141592654589793,historical_sine_pi_cleanup,historical_reference_only,2.0,0.0,0.9207354924039483,0.0
distance_probe,sine_a2_beyond_cutoff,,,,5.141592654589793,historical_sine_pi_cleanup,historical_reference_only,3.0,0.061208718934957274,0.9987474933020273,0.06128547940840477
distance_probe,sine_a2_beyond_cutoff,,,,5.141592654589793,historical_sine_pi_cleanup,historical_reference_only,5.0,0.4646313989167748,1.0,0.4646313989167748
distance_probe,sine_a2_beyond_cutoff,,,,5.141592654589793,normalized_sigmoid,positive_tail_sensitivity,2.0,0.1120492835240378,1.0,0.1120492835240378
distance_probe,sine_a2_beyond_cutoff,,,,5.141592654589793,normalized_sigmoid,primary,3.0,0.26411860894111827,1.0,0.26411860894111827
distance_probe,sine_a2_beyond_cutoff,,,,5.141592654589793,normalized_sigmoid,positive_tail_sensitivity,5.0,0.4884243094628569,1.0,0.4884243094628569
distance_probe,sine_a3_cutoff,,,,6.141592653589793,historical_sine_pi_cleanup,historical_reference_only,2.0,0.0,0.9207354924039483,0.0
distance_probe,sine_a3_cutoff,,,,6.141592653589793,historical_sine_pi_cleanup,historical_reference_only,3.0,0.0,0.9987474933020273,0.0
distance_probe,sine_a3_cutoff,,,,6.141592653589793,historical_sine_pi_cleanup,historical_reference_only,5.0,0.22984884706593017,1.0,0.22984884706593017
distance_probe,sine_a3_cutoff,,,,6.141592653589793,normalized_sigmoid,positive_tail_sensitivity,2.0,0.06626065686531044,1.0,0.06626065686531044
distance_probe,sine_a3_cutoff,,,,6.141592653589793,normalized_sigmoid,primary,3.0,0.1908583272647673,1.0,0.1908583272647673
distance_probe,sine_a3_cutoff,,,,6.141592653589793,normalized_sigmoid,positive_tail_sensitivity,5.0,0.4119219724287449,1.0,0.4119219724287449
distance_probe,sine_a3_beyond_cutoff,,,,6.141592654589793,historical_sine_pi_cleanup,historical_reference_only,2.0,0.0,0.9207354924039483,0.0
