gene,universe,method,n_variants,mean,variance,normalized_mae,alpha_empirical,beta_empirical,strength,posterior_median,posterior_lt_01_pct,mean_weight,MAE_as_variance_valid
HNF1A,full_count_dataset,historical_formula_raw_fraction,234,0.6049166406543067,0.06461693729426378,0.3544840705962931,1.6324308009953354,1.0661737525669872,2.6986045535623226,0.7117362137187392,5.555555555555555,0.4324434603931951,False
HNF1A,full_count_dataset,historical_formula_endpoint_clipped,234,0.6047459633821902,0.06453947327277049,0.3542833100514744,1.634990155338678,1.0686081393809665,2.7035982947196446,0.7114675906119408,5.555555555555555,0.4324434603931951,False
HNF1A,full_count_dataset,historical_weight_normalized_mse,234,0.6049166406543067,0.14942285688749102,0.3544840705962931,0.3626096291145266,0.23682772265399263,0.5994373517685192,0.851930603976374,6.837606837606838,0.4324434603931951,False
HNF1A,full_count_dataset,carrier_weighted,234,0.0031609600690267396,0.0020864433359517385,0.005500822917301185,0.0016127546640903583,0.5085976335952355,0.5102103882593259,0.6632272976340422,8.547008547008547,1030.1965811965813,False
HNF1A,full_count_dataset,variant_equal_weight,234,0.7943430406715374,0.1126027847233185,0.27827968345744464,0.3580761172471892,0.09270660370983178,0.450782720957021,0.9360989055282674,6.837606837606838,1.0,False
HNF1A,histogram_subset,historical_formula_raw_fraction,233,0.6109539633842215,0.06330821149465359,0.35141494092049647,1.682858582698554,1.0716183231828549,2.754476905881409,0.7145758650148683,5.150214592274678,0.43000766626224457,False
HNF1A,histogram_subset,historical_formula_endpoint_clipped,233,0.6107767570402103,0.06323384363069585,0.3512193219332733,1.6854469124028908,1.0740669246502272,2.759513837053118,0.7143069632928574,5.150214592274678,0.43000766626224457,False
HNF1A,histogram_subset,historical_weight_normalized_mse,233,0.6109539633842215,0.14722577400758344,0.35141494092049647,0.3754030163998902,0.23905083593366744,0.6144538523335576,0.8519308337069286,6.437768240343347,0.43000766626224457,False
HNF1A,histogram_subset,carrier_weighted,233,0.004216393515286504,0.002782323885647137,0.0072473846229355815,0.0021462788650289033,0.5068856360280153,0.5090319148930442,0.6640987967017636,8.15450643776824,774.618025751073,False
HNF1A,histogram_subset,variant_equal_weight,233,0.7977521674250716,0.11036647649562668,0.2746456399157756,0.3684737375490482,0.09341624858333906,0.4618899861323873,0.9360989886588639,6.437768240343347,1.0,False
HNF1A,missense_only,historical_formula_raw_fraction,152,0.5290650181671778,0.07384802455400033,0.35166189206257514,1.2559429666568862,1.117948565631163,2.373891532288049,0.6686471527218864,8.552631578947368,0.4980959195075436,False
