pmid,eligibility_reason,affected,unaffected,female_affected,female_unaffected
23704984,unresolved_source_sex_germline_or_breast_endpoint,16.0,0.0,0.0,0.0
23767878,unresolved_source_sex_germline_or_breast_endpoint,9.0,0.0,0.0,0.0
23961350,unresolved_source_sex_germline_or_breast_endpoint,4.0,0.0,0.0,0.0
24302565,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
24372583,unresolved_source_sex_germline_or_breast_endpoint,4.0,0.0,0.0,0.0
24470074,unresolved_source_sex_germline_or_breast_endpoint,16.0,1.0,0.0,0.0
24772314,unresolved_source_sex_germline_or_breast_endpoint,1.0,1.0,0.0,0.0
24811890,unresolved_source_sex_germline_or_breast_endpoint,3.0,0.0,0.0,0.0
24824029,unresolved_source_sex_germline_or_breast_endpoint,2.0,0.0,0.0,0.0
24884479,unresolved_source_sex_germline_or_breast_endpoint,5.0,0.0,0.0,0.0
24949998,unresolved_source_sex_germline_or_breast_endpoint,24.0,31.0,0.0,0.0
24961674,unresolved_source_sex_germline_or_breast_endpoint,6.0,0.0,0.0,0.0
25036526,unresolved_source_sex_germline_or_breast_endpoint,5.0,0.0,0.0,0.0
25066507,unresolved_source_sex_germline_or_breast_endpoint,7.0,0.0,0.0,0.0
25320599,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
25342642,unresolved_source_sex_germline_or_breast_endpoint,7.0,0.0,0.0,0.0
25798433,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
25802882,unresolved_source_sex_germline_or_breast_endpoint,117.0,2.0,0.0,0.0
25884701,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
25916844,unresolved_source_sex_germline_or_breast_endpoint,2.0,0.0,0.0,0.0
25923920,unresolved_source_sex_germline_or_breast_endpoint,13.0,0.0,0.0,0.0
25927356,unresolved_source_sex_germline_or_breast_endpoint,11.0,0.0,0.0,0.0
25948282,unresolved_source_sex_germline_or_breast_endpoint,11.0,0.0,0.0,0.0
26182300,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
26183948,unresolved_source_sex_germline_or_breast_endpoint,10.0,0.0,0.0,0.0
26221963,unresolved_source_sex_germline_or_breast_endpoint,26.0,0.0,0.0,0.0
26271414,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
26283626,unresolved_source_sex_germline_or_breast_endpoint,40.0,0.0,0.0,0.0
26296701,unresolved_source_sex_germline_or_breast_endpoint,4.0,0.0,0.0,0.0
26320393,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
26455428,unresolved_source_sex_germline_or_breast_endpoint,66.0,33.0,0.0,0.0
26543556,unresolved_source_sex_germline_or_breast_endpoint,5.0,0.0,0.0,0.0
26552643,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
26576347,unresolved_source_sex_germline_or_breast_endpoint,3.0,1.0,0.0,0.0
26577449,unresolved_source_sex_germline_or_breast_endpoint,7.0,0.0,0.0,0.0
26824983,unresolved_source_sex_germline_or_breast_endpoint,9.0,0.0,0.0,0.0
26843898,unresolved_source_sex_germline_or_breast_endpoint,10.0,0.0,0.0,0.0
26852015,unresolved_source_sex_germline_or_breast_endpoint,7.0,0.0,0.0,0.0
26997744,unresolved_source_sex_germline_or_breast_endpoint,7.0,0.0,0.0,0.0
27000661,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
27082205,unresolved_source_sex_germline_or_breast_endpoint,3.0,0.0,0.0,0.0
27129401,unresolved_source_sex_germline_or_breast_endpoint,5.0,0.0,0.0,0.0
27148582,unresolved_source_sex_germline_or_breast_endpoint,2.0,0.0,0.0,0.0
27194814,unresolved_source_sex_germline_or_breast_endpoint,8.0,0.0,0.0,0.0
27211102,unresolved_source_sex_germline_or_breast_endpoint,4.0,0.0,0.0,0.0
27221885,unresolved_source_sex_germline_or_breast_endpoint,10.0,0.0,0.0,0.0
27223485,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
27257965,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
27446417,unresolved_source_sex_germline_or_breast_endpoint,4.0,0.0,0.0,0.0
27478808,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
27488874,unresolved_source_sex_germline_or_breast_endpoint,4.0,0.0,0.0,0.0
27553291,unresolved_source_sex_germline_or_breast_endpoint,2.0,0.0,0.0,0.0
27658390,unresolved_source_sex_germline_or_breast_endpoint,6.0,0.0,0.0,0.0
27836010,unresolved_source_sex_germline_or_breast_endpoint,23.0,15.0,0.0,0.0
27907908,unresolved_source_sex_germline_or_breast_endpoint,8.0,0.0,0.0,0.0
27914478,unresolved_source_sex_germline_or_breast_endpoint,2.0,0.0,0.0,0.0
28008555,unresolved_source_sex_germline_or_breast_endpoint,22.0,0.0,0.0,0.0
28049253,unresolved_source_sex_germline_or_breast_endpoint,1.0,2.0,0.0,0.0
28058502,unresolved_source_sex_germline_or_breast_endpoint,1.0,1.0,0.0,0.0
28090007,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
28179634,unresolved_source_sex_germline_or_breast_endpoint,0.0,2.0,0.0,0.0
28184943,unresolved_source_sex_germline_or_breast_endpoint,0.0,1.0,0.0,0.0
28184945,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
28202063,unresolved_source_sex_germline_or_breast_endpoint,5.0,0.0,0.0,0.0
28205045,unresolved_source_sex_germline_or_breast_endpoint,31.0,0.0,0.0,0.0
28222693,female_MyBrCa_blood_case_control,90.0,85.0,90.0,85.0
28222693,possible_BCAC_cohort_overlap_shared_allele_not_added,15.0,19.0,0.0,0.0
28283652,female_BCAC_germline_case_control,213.0,147.0,213.0,147.0
28351343,unresolved_source_sex_germline_or_breast_endpoint,8.0,0.0,0.0,0.0
28423363,unresolved_source_sex_germline_or_breast_endpoint,4.0,0.0,0.0,0.0
28486781,unresolved_source_sex_germline_or_breast_endpoint,6.0,0.0,0.0,0.0
28495237,unresolved_source_sex_germline_or_breast_endpoint,4.0,0.0,0.0,0.0
28637432,unresolved_source_sex_germline_or_breast_endpoint,13.0,0.0,0.0,0.0
28782087,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
28802053,unresolved_source_sex_germline_or_breast_endpoint,3.0,0.0,0.0,0.0
28814288,unresolved_source_sex_germline_or_breast_endpoint,5.0,0.0,0.0,0.0
28878254,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
28944232,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
28947987,unresolved_source_sex_germline_or_breast_endpoint,5.0,1.0,0.0,0.0
28961279,unresolved_source_sex_germline_or_breast_endpoint,7.0,0.0,0.0,0.0
28993434,unresolved_source_sex_germline_or_breast_endpoint,7.0,1.0,0.0,0.0
29088781,unresolved_source_sex_germline_or_breast_endpoint,4.0,0.0,0.0,0.0
29093439,unresolved_source_sex_germline_or_breast_endpoint,3.0,0.0,0.0,0.0
29093764,unresolved_source_sex_germline_or_breast_endpoint,9.0,2.0,0.0,0.0
29108258,unresolved_source_sex_germline_or_breast_endpoint,3.0,0.0,0.0,0.0
29158857,unresolved_source_sex_germline_or_breast_endpoint,3.0,0.0,0.0,0.0
29161300,unresolved_source_sex_germline_or_breast_endpoint,1.0,1.0,0.0,0.0
29164420,unresolved_source_sex_germline_or_breast_endpoint,6.0,0.0,0.0,0.0
29202330,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
