rank,pmid,genes,hard_yield,positive_carrier_rows,possible_yield,gold_rows,cumulative_hard_yield,cumulative_hard_pct,access_class,manual_action,corpus_state,classes,year,journal,publisher,title,doi,doi_url,pubmed_url,pmc_id,is_oa,oa_status,oa_pdf_url,oa_host_type,oa_landing_url,inventory_status,tranches,body_chars,figure_files,supplement_files_on_disk,unfetched_links,predicted_ev
31,24762593,KCNH2,0,0,0,0,0,0.0,no_doi,"Resolve the article by PMID/title first (PubMed record has no DOI), then fetch PDF and supplements by hand.",no source on disk [index: stub],,2014,Chin Med J (Engl),,Clinical characteristics of patients with congenital long QT syndrome and bigenic mutations.,,,https://pubmed.ncbi.nlm.nih.gov/24762593/,,,,,,,,,0,0,0,0,7.1913
32,9570196,KCNH2,0,0,0,0,0,0.0,free_pdf_not_fetched,"Open-access copy exists (bronze, publisher) but nothing usable is on disk: download the PDF at https://www.ahajournals.org/doi/pdf/10.1161/01.CIR.97.13.1264 and any supplements; a bot wall or fetch failure is the likely cause.",no source on disk [index: stub],,1998,Circulation,Ovid Technologies (Wolters Kluwer Health),New mutations in the KVLQT1 potassium channel that cause long-QT syndrome.,10.1161/01.cir.97.13.1264,https://doi.org/10.1161/01.cir.97.13.1264,https://pubmed.ncbi.nlm.nih.gov/9570196/,,True,bronze,https://www.ahajournals.org/doi/pdf/10.1161/01.CIR.97.13.1264,publisher,https://doi.org/10.1161/01.cir.97.13.1264,,,0,0,0,0,7.0599
33,32940533,KCNH2,0,0,0,0,0,0.0,paywalled_pdf,No open-access copy: use institutional browser access at https://doi.org/10.1161/CIRCGEN.120.002950 to download the PDF and its supplements.,no source on disk [index: stub],,2020,Circ Genom Precis Med,Ovid Technologies (Wolters Kluwer Health),"Promise and Potential Peril With Lumacaftor for the Trafficking Defective Type 2 Long-QT Syndrome-Causative Variants, p.G604S, p.N633S, and p.R685P, Using Patient-Specific Re-Engineered Cardiomyocytes.",10.1161/CIRCGEN.120.002950,https://doi.org/10.1161/CIRCGEN.120.002950,https://pubmed.ncbi.nlm.nih.gov/32940533/,,False,closed,,,,,,0,0,0,0,6.9521
34,10367071,KCNH2,0,0,0,0,0,0.0,no_doi,"Resolve the article by PMID/title first (PubMed record has no DOI), then fetch PDF and supplements by hand.",no source on disk [index: stub],,1999,Arch Mal Coeur Vaiss,,[Congenital long QT syndrome. The value of genetics in prognostic evaluation].,,,https://pubmed.ncbi.nlm.nih.gov/10367071/,,,,,,,,,0,0,0,0,6.9379
35,10832806,KCNH2,0,0,0,0,0,0.0,no_doi,"Resolve the article by PMID/title first (PubMed record has no DOI), then fetch PDF and supplements by hand.",no source on disk [index: stub],,2000,Ital Heart J,,Gene-specific differences in the circadian variation of ventricular repolarization in the long QT syndrome: a key to sudden death during sleep?,,,https://pubmed.ncbi.nlm.nih.gov/10832806/,,,,,,,,,0,0,0,0,6.3777
36,29141844,KCNH2,0,0,0,0,0,0.0,free_pdf_not_fetched,"Open-access copy exists (bronze, publisher) but nothing usable is on disk: download the PDF at https://www.ahajournals.org/doi/pdf/10.1161/CIRCEP.117.005648 and any supplements; a bot wall or fetch failure is the likely cause.",no source on disk [index: stub],,2017,Circ Arrhythm Electrophysiol,Ovid Technologies (Wolters Kluwer Health),Architectural T-Wave Analysis and Identification of On-Therapy Breakthrough Arrhythmic Risk in Type 1 and Type 2 Long-QT Syndrome.,10.1161/CIRCEP.117.005648,https://doi.org/10.1161/CIRCEP.117.005648,https://pubmed.ncbi.nlm.nih.gov/29141844/,,True,bronze,https://www.ahajournals.org/doi/pdf/10.1161/CIRCEP.117.005648,publisher,https://doi.org/10.1161/circep.117.005648,,,0,0,0,0,6.1652
37,15315326,KCNH2,0,0,0,0,0,0.0,paywalled_pdf,No open-access copy: use institutional browser access at https://doi.org/10.1007/BF02831990 to download the PDF and its supplements.,no source on disk [index: stub],,2004,J Huazhong Univ Sci Technolog Med Sci,Springer Science and Business Media LLC,Clinical characteristics of 5 Chinese LQTS families and phenotype-genotype correlation.,10.1007/BF02831990,https://doi.org/10.1007/BF02831990,https://pubmed.ncbi.nlm.nih.gov/15315326/,,False,closed,,,,,,0,0,0,0,6.1575
38,39344617,KCNH2,0,0,0,0,0,0.0,paywalled_pdf,No open-access copy: use institutional browser access at https://doi.org/10.3760/cma.j.cn511374-202310100-00179 to download the PDF and its supplements.,no source on disk [index: stub],,2024,Zhonghua Yi Xue Yi Chuan Xue Za Zhi,,[Clinical and genetic analysis of a Chinese pedigree affected with type 2 Long QT syndrome due to variant of KCNH2 gene].,10.3760/cma.j.cn511374-202310100-00179,https://doi.org/10.3760/cma.j.cn511374-202310100-00179,https://pubmed.ncbi.nlm.nih.gov/39344617/,,,,,,,,,0,0,0,0,6.0574
39,16534005,KCNH2,0,0,0,0,0,0.0,paywalled_pdf,No open-access copy: use institutional browser access at https://doi.org/10.1161/CIRCULATIONAHA.105.600445 to download the PDF and its supplements.,no source on disk [index: stub],,2006,Circulation,Ovid Technologies (Wolters Kluwer Health),Epinephrine QT stress testing in the evaluation of congenital long-QT syndrome: diagnostic accuracy of the paradoxical QT response.,10.1161/CIRCULATIONAHA.105.600445,https://doi.org/10.1161/CIRCULATIONAHA.105.600445,https://pubmed.ncbi.nlm.nih.gov/16534005/,,False,closed,,,,,,0,0,0,0,5.8016
40,16623272,KCNH2,0,0,0,0,0,0.0,no_doi,"Resolve the article by PMID/title first (PubMed record has no DOI), then fetch PDF and supplements by hand.",no source on disk [index: stub],,2006,Vnitr Lek,,[Mutational analysis of LQT genes in individuals with drug induced QT interval prolongation].,,,https://pubmed.ncbi.nlm.nih.gov/16623272/,,,,,,,,,0,0,0,0,5.7488
41,24052033,KCNH2,0,0,0,0,0,0.0,paywalled_pdf,No open-access copy: use institutional browser access at https://doi.org/10.1152/japplphysiol.00665.2013 to download the PDF and its supplements.,no source on disk [index: stub],,2013,J Appl Physiol (1985),American Physiological Society,Electrophysiological phenotype in the LQTS mutations Y111C and R518X in the KCNQ1 gene.,10.1152/japplphysiol.00665.2013,https://doi.org/10.1152/japplphysiol.00665.2013,https://pubmed.ncbi.nlm.nih.gov/24052033/,,False,closed,,,,,,0,0,0,0,5.54
42,24796621,KCNH2,0,0,0,0,0,0.0,paywalled_pdf,No open-access copy: use institutional browser access at https://doi.org/10.2217/bmm.13.137 to download the PDF and its supplements.,no source on disk [index: stub],,2014,Biomark Med,Informa UK Limited,Gain-of-function mutations in potassium channel subunit KCNE2 associated with early-onset lone atrial fibrillation.,10.2217/bmm.13.137,https://doi.org/10.2217/bmm.13.137,https://pubmed.ncbi.nlm.nih.gov/24796621/,,False,closed,,,,,,0,0,0,0,5.5053
43,12591753,KCNH2,0,0,0,0,0,0.0,free_pdf_not_fetched,"Open-access copy exists (bronze, publisher) but nothing usable is on disk: download the PDF at https://www.ahajournals.org/doi/pdf/10.1161/01.CIR.0000048142.85076.A2 and any supplements; a bot wall or fetch failure is the likely cause.",no source on disk [index: stub],,2003,Circulation,Ovid Technologies (Wolters Kluwer Health),Exercise stress test amplifies genotype-phenotype correlation in the LQT1 and LQT2 forms of the long-QT syndrome.,10.1161/01.cir.0000048142.85076.a2,https://doi.org/10.1161/01.cir.0000048142.85076.a2,https://pubmed.ncbi.nlm.nih.gov/12591753/,,True,bronze,https://www.ahajournals.org/doi/pdf/10.1161/01.CIR.0000048142.85076.A2,publisher,https://doi.org/10.1161/01.cir.0000048142.85076.a2,,,0,0,0,0,5.3619
44,17088455,KCNH2,0,0,0,0,0,0.0,free_pdf_not_fetched,"Open-access copy exists (bronze, publisher) but nothing usable is on disk: download the PDF at https://www.ahajournals.org/doi/pdf/10.1161/CIRCULATIONAHA.106.642694 and any supplements; a bot wall or fetch failure is the likely cause.",no source on disk [index: stub],,2006,Circulation,Ovid Technologies (Wolters Kluwer Health),Genotype-specific onset of arrhythmias in congenital long-QT syndrome: possible therapy implications.,10.1161/CIRCULATIONAHA.106.642694,https://doi.org/10.1161/CIRCULATIONAHA.106.642694,https://pubmed.ncbi.nlm.nih.gov/17088455/,,True,bronze,https://www.ahajournals.org/doi/pdf/10.1161/CIRCULATIONAHA.106.642694,publisher,https://doi.org/10.1161/circulationaha.106.642694,,,0,0,0,0,5.3069
45,26066992,KCNH2,0,0,0,0,0,0.0,paywalled_pdf,No open-access copy: use institutional browser access at https://doi.org/10.1089/gtmb.2014.0307 to download the PDF and its supplements.,no source on disk [index: stub],,2015,Genet Test Mol Biomarkers,SAGE Publications,"Genetic variants of potassium voltage-gated channel genes (KCNQ1, KCNH2, and KCNE1) affected the risk of atrial fibrillation in elderly patients.",10.1089/gtmb.2014.0307,https://doi.org/10.1089/gtmb.2014.0307,https://pubmed.ncbi.nlm.nih.gov/26066992/,,False,closed,,,,,,0,0,0,0,5.2866
46,15761194,KCNH2,0,0,0,0,0,0.0,free_pdf_not_fetched,"Open-access copy exists (bronze, publisher) but nothing usable is on disk: download the PDF at https://www.ahajournals.org/doi/pdf/10.1161/01.RES.0000162101.76263.8c and any supplements; a bot wall or fetch failure is the likely cause.",no source on disk [index: stub],,2005,Circ Res,Ovid Technologies (Wolters Kluwer Health),A novel form of short QT syndrome (SQT3) is caused by a mutation in the KCNJ2 gene.,10.1161/01.RES.0000162101.76263.8c,https://doi.org/10.1161/01.RES.0000162101.76263.8c,https://pubmed.ncbi.nlm.nih.gov/15761194/,,True,bronze,https://www.ahajournals.org/doi/pdf/10.1161/01.RES.0000162101.76263.8c,publisher,https://doi.org/10.1161/01.res.0000162101.76263.8c,,,0,0,0,0,5.2598
47,20880952,KCNH2,0,0,0,0,0,0.0,paywalled_pdf,No open-access copy: use institutional browser access at https://doi.org/10.1093/europace/euq342 to download the PDF and its supplements.,no source on disk [index: stub],,2010,Europace,Oxford University Press (OUP),Heart rate-dependent variability of cardiac events in type 2 congenital long-QT syndrome.,10.1093/europace/euq342,https://doi.org/10.1093/europace/euq342,https://pubmed.ncbi.nlm.nih.gov/20880952/,,False,closed,,,,,,0,0,0,0,5.2246
48,8521555,KCNH2,0,0,0,0,0,0.0,paywalled_pdf,No open-access copy: use institutional browser access at https://doi.org/10.1161/01.cir.92.12.3381 to download the PDF and its supplements.,no source on disk [index: stub],,1995,Circulation,Ovid Technologies (Wolters Kluwer Health),Long QT syndrome patients with mutations of the SCN5A and HERG genes have differential responses to Na+ channel blockade and to increases in heart rate. Implications for gene-specific therapy.,10.1161/01.cir.92.12.3381,https://doi.org/10.1161/01.cir.92.12.3381,https://pubmed.ncbi.nlm.nih.gov/8521555/,,False,closed,,,,,,0,0,0,0,5.1901
49,11468227,KCNH2,0,0,0,0,0,0.0,no_doi,"Resolve the article by PMID/title first (PubMed record has no DOI), then fetch PDF and supplements by hand.",no source on disk [index: stub],,2001,Clin Chem,,Screening for mutations and polymorphisms in the genes KCNH2 and KCNE2 encoding the cardiac HERG/MiRP1 ion channel: implications for acquired and congenital long Q-T syndrome.,,,https://pubmed.ncbi.nlm.nih.gov/11468227/,,,,,,,,,0,0,0,0,5.1784
50,18006462,KCNH2,0,0,0,0,0,0.0,free_pdf_not_fetched,"Open-access copy exists (bronze, publisher) but nothing usable is on disk: download the PDF at https://academic.oup.com/cardiovascres/article-pdf/77/1/98/17197446/cvm030.pdf and any supplements; a bot wall or fetch failure is the likely cause.",no source on disk [index: stub],,2008,Cardiovasc Res,Oxford University Press (OUP),A KCNE2 mutation in a patient with cardiac arrhythmia induced by auditory stimuli and serum electrolyte imbalance.,10.1093/cvr/cvm030,https://doi.org/10.1093/cvr/cvm030,https://pubmed.ncbi.nlm.nih.gov/18006462/,,True,bronze,https://academic.oup.com/cardiovascres/article-pdf/77/1/98/17197446/cvm030.pdf,publisher,https://doi.org/10.1093/cvr/cvm030,,,0,0,0,0,4.9726
51,14527360,KCNH2,0,0,0,0,0,0.0,no_doi,"Resolve the article by PMID/title first (PubMed record has no DOI), then fetch PDF and supplements by hand.",no source on disk [index: stub],,2003,Chin Med J (Engl),,Mutation analysis of potassium channel genes KCNQ1 and KCNH2 in patients with long QT syndrome.,,,https://pubmed.ncbi.nlm.nih.gov/14527360/,,,,,,,,,0,0,0,0,4.6498
52,26717233,KCNH2,0,0,0,0,0,0.0,paywalled_pdf,No open-access copy: use institutional browser access at https://doi.org/10.2143/AC.70.6.3120197 to download the PDF and its supplements.,no source on disk [index: stub],,2015,Acta Cardiol,,Targeted capture sequencing in a large LQTS family reveals a new pathogenic mutation c.2038delG in KCNH2 initially missed due to allelic dropout.,10.2143/AC.70.6.3120197,https://doi.org/10.2143/AC.70.6.3120197,https://pubmed.ncbi.nlm.nih.gov/26717233/,,,,,,,,,0,0,0,0,4.4606
53,15214551,KCNH2,0,0,0,0,0,0.0,no_doi,"Resolve the article by PMID/title first (PubMed record has no DOI), then fetch PDF and supplements by hand.",no source on disk [index: stub],,2004,Arch Mal Coeur Vaiss,,[Neonatal forms of congenital long QT syndrome].,,,https://pubmed.ncbi.nlm.nih.gov/15214551/,,,,,,,,,0,0,0,0,4.2323
54,17227789,KCNH2,0,0,0,0,0,0.0,free_pdf_not_fetched,"Open-access copy exists (bronze, publisher) but nothing usable is on disk: download the PDF at https://academic.oup.com/eurheartj/article-pdf/28/3/305/9627565/ehl460.pdf and any supplements; a bot wall or fetch failure is the likely cause.",no source on disk [index: stub],,2007,Eur Heart J,Oxford University Press (OUP),The common non-synonymous variant G38S of the KCNE1-(minK)-gene is not associated to QT interval in Central European Caucasians: results from the KORA study.,10.1093/eurheartj/ehl460,https://doi.org/10.1093/eurheartj/ehl460,https://pubmed.ncbi.nlm.nih.gov/17227789/,,True,bronze,https://academic.oup.com/eurheartj/article-pdf/28/3/305/9627565/ehl460.pdf,publisher,https://doi.org/10.1093/eurheartj/ehl460,,,0,0,0,0,4.1611
55,16038262,KCNH2,0,0,0,0,0,0.0,no_doi,"Resolve the article by PMID/title first (PubMed record has no DOI), then fetch PDF and supplements by hand.",no source on disk [index: stub],,2005,Zhongguo Yi Xue Ke Xue Yuan Xue Bao,,[Relationship between congenital long QT syndrome and Brugada syndrome gene mutation].,,,https://pubmed.ncbi.nlm.nih.gov/16038262/,,,,,,,,,0,0,0,0,4.1171
56,15828882,KCNH2,0,0,0,0,0,0.0,free_pdf_not_fetched,"Open-access copy exists (bronze, publisher) but nothing usable is on disk: download the PDF at https://onlinelibrary.wiley.com/doi/pdfdirect/10.1046/j.1540-8167.2005.40621.x and any supplements; a bot wall or fetch failure is the likely cause.",no source on disk [index: stub],,2005,J Cardiovasc Electrophysiol,Wiley,Short QT syndrome and atrial fibrillation caused by mutation in KCNH2.,10.1046/j.1540-8167.2005.40621.x,https://doi.org/10.1046/j.1540-8167.2005.40621.x,https://pubmed.ncbi.nlm.nih.gov/15828882/,,True,bronze,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1046/j.1540-8167.2005.40621.x,publisher,https://doi.org/10.1046/j.1540-8167.2005.40621.x,,,0,0,0,0,4.0476
57,17160940,KCNH2,0,0,0,0,0,0.0,no_doi,"Resolve the article by PMID/title first (PubMed record has no DOI), then fetch PDF and supplements by hand.",no source on disk [index: stub],,2006,Zhonghua Yi Xue Yi Chuan Xue Za Zhi,,[Construction of eukaryotic expression vector of congenital long QT syndrome related HERG gene A561V mutation and its expression in HEK293 cells].,,,https://pubmed.ncbi.nlm.nih.gov/17160940/,,,,,,,,,0,0,0,0,3.9192
58,33941567,KCNH2,0,0,0,0,0,0.0,no_doi,"Resolve the article by PMID/title first (PubMed record has no DOI), then fetch PDF and supplements by hand.",no source on disk [index: stub],,2021,Ann Clin Lab Sci,,A Novel Mutation in the KCNH2 Gene Associatedwith Long QT Syndrome: A Case Report.,,,https://pubmed.ncbi.nlm.nih.gov/33941567/,,,,,,,,,0,0,0,0,3.9183
59,18209471,KCNH2,0,0,0,0,0,0.0,paywalled_pdf,No open-access copy: use institutional browser access at https://doi.org/10.1159/000113746 to download the PDF and its supplements.,no source on disk [index: stub],,2008,Cell Physiol Biochem,S. Karger AG,KCNE3 mutation V17M identified in a patient with lone atrial fibrillation.,10.1159/000113746,https://doi.org/10.1159/000113746,https://pubmed.ncbi.nlm.nih.gov/18209471/,,False,closed,,,,,,0,0,0,0,3.8699
60,25648353,KCNH2,0,0,0,0,0,0.0,paywalled_pdf,No open-access copy: use institutional browser access at https://doi.org/10.1161/CIRCEP.114.001837 to download the PDF and its supplements.,no source on disk [index: stub],,2015,Circ Arrhythm Electrophysiol,Ovid Technologies (Wolters Kluwer Health),Role of mutation and pharmacologic block of human KCNH2 in vasculogenesis and fetal mortality: partial rescue by transforming growth factor-β.,10.1161/CIRCEP.114.001837,https://doi.org/10.1161/CIRCEP.114.001837,https://pubmed.ncbi.nlm.nih.gov/25648353/,,False,closed,,,,,,0,0,0,0,3.8585
