gene,input_scope,scenario,variant_type,variants,affected,unaffected_literature,gnomad_carriers,population_only_units,zero_affected_units,zero_affected_singletons,mean,variance,historical_mse,normalized_weighted_mse,weighted_mae,alpha_empirical,beta_empirical,strength,pooled_carrier_fraction,equal_variant_fraction_mean
LDLR,primary,previous,missense,1376,1400.0,114.0,108024,1005,1011,505,0.15377610786006457,0.03580757280422471,0.03580757280422471,0.08342197386502456,0.2140225435148891,0.4050647213745733,2.2290552795242657,2.634120000898839,0.012780952728733407,0.15617120493203182
LDLR,primary,previous,nonsense,95,355.0,19.0,168,33,33,21,0.5665540134584413,0.05275197969101589,0.05275197969101589,0.1222517342958834,0.29643447848651744,2.0708633694640164,1.58432805142585,3.6551914208898664,0.6549815498154982,0.5095547111643138
LDLR,primary,refreshed,missense,1361,1346.0,95.0,108024,1026,1033,511,0.14813135094946658,0.035941498476819815,0.035941498476819815,0.08355908837249856,0.2117539864579534,0.37194897207735717,2.138991282590566,2.5109402546679234,0.012296167724843557,0.14390983565759685
LDLR,primary,refreshed,nonsense,95,358.0,16.0,168,33,33,21,0.5714663604143512,0.05289396980401149,0.05289396980401149,0.12258079374859504,0.29779666619364586,2.074352436906427,1.5555242813003687,3.6298767182067957,0.6605166051660517,0.511988214276934
