model,support_stratum,n_variants,mae_empirical_posterior,mse_empirical_posterior,mae_observed_fraction,mse_observed_fraction,mean_beta_binomial_nll,spearman_observed_fraction,mean_prediction,mean_observed_fraction,cohort
am_fit,all,610,0.124636163955,0.0248875716889,0.366841769091,0.158462454288,0.98190420626,0.500809420097,0.360078026108,0.326271795737,all_common
am_plus_density,all,610,0.12340019896,0.0245662341908,0.364882352347,0.157109239842,0.974993105813,0.512695706869,0.360101671155,0.326271795737,all_common
am_plus_sequence,all,610,0.122818367174,0.0245493842813,0.364601302316,0.156576407184,0.97614907445,0.519661573019,0.360126321126,0.326271795737,all_common
density_fit,all,610,0.139384446814,0.0296528762594,0.389962568207,0.175530553954,1.05095548912,0.372479608593,0.360102090441,0.326271795737,all_common
density_unfitted,all,610,0.141792504612,0.0295899918439,0.392937202601,0.176384887563,1.0541282678,0.373122416841,0.36848293119,0.326271795737,all_common
empirical_prior,all,610,0.163972365391,0.0349014640807,0.419185685008,0.194724056128,1.13767577293,,0.370417922268,0.326271795737,all_common
intercept_only,all,610,0.161252532228,0.0349088498876,0.416465851845,0.194162113935,1.135138738,-0.815674751084,0.360075020213,0.326271795737,all_common
sequence_fit,all,610,0.141594017834,0.0308140646028,0.394717023747,0.178332213921,1.07205300535,0.353885098498,0.360113344398,0.326271795737,all_common
sequence_unfitted,all,610,0.139926123308,0.0308311680994,0.389092186128,0.175318256797,1.05737504136,0.356210652206,0.359524284658,0.326271795737,all_common
