scorer,n_variants,n_high,auc,auc_ci_lower,auc_ci_upper
clinvar_ordinal,25,22,0.803030303030303,0.6041666666666666,0.9375
clinvar_plp_binary,25,22,0.8409090909090909,0.7380952380952381,0.9318181818181818
alphamissense_missense_only,25,22,0.8939393939393939,0.7377819548872181,1.0
insilico_posterior_mean_in_sample_LEAKY,37,33,0.8257575757575758,0.607174688057041,0.9722222222222222
base_oof_prior,37,33,0.6515151515151515,0.2803030303030303,0.9256493506493504
class_oof_prior,37,33,0.7121212121212122,0.3333333333333333,1.0
insilico_oof_prior,37,33,0.75,0.2571428571428571,1.0
clinvar_oof_prior,37,33,0.696969696969697,0.3104166666666667,0.9714285714285714
insilico_clinvar_oof_prior,37,33,0.75,0.28253968253968254,0.9857142857142858
