model,fit,max_r_hat,min_ess_bulk,min_ess_tail,divergences,draws,chains,rows,variants,mixture,features
base,full,1.0,2486.0,2069.0,0,1000,4,555,391,True,
class,full,1.0,2772.0,2150.0,0,1000,4,555,391,True,trunc
insilico,full,1.0,2292.0,1740.0,0,1000,4,555,391,True,"trunc,am,am_missing"
clinvar,full,1.0,1360.0,1335.0,0,1000,4,555,391,True,"trunc,clinvar_plp,clinvar_blb,clinvar_none"
insilico_clinvar,full,1.0,2729.0,1490.0,0,1000,4,555,391,True,"trunc,am,am_missing,clinvar_plp,clinvar_blb,clinvar_none"
