scorer,n_variants,n_high,auc,auc_ci_lower,auc_ci_upper
clinvar_ordinal,25,22,0.803030303030303,0.6041666666666666,0.9375
clinvar_plp_binary,25,22,0.8409090909090909,0.7380952380952381,0.9318181818181818
alphamissense_missense_only,25,22,0.8939393939393939,0.7377819548872181,1.0
insilico_posterior_mean_in_sample_LEAKY,37,33,0.946969696969697,0.8571428571428571,1.0
base_oof_prior,37,33,0.4318181818181818,0.17142857142857143,0.7142857142857143
class_oof_prior,37,33,0.6893939393939394,0.31123015873015875,0.960160427807487
insilico_oof_prior,37,33,0.7272727272727273,0.19805555555555557,0.9803921568627451
clinvar_oof_prior,37,33,0.6893939393939394,0.26243697478991596,0.9705882352941176
insilico_clinvar_oof_prior,37,33,0.6893939393939394,0.14285714285714285,1.0
