density_source,measure,targets,nonmissing,mean,median,p90,maximum,minimum
polymer,weight_beyond_3,4389,4389,0.7573720474537882,0.7541811659406483,0.9999999999999999,1.0000000000000004,0.0
polymer,weight_beyond_6,4389,4389,0.38175252050905983,0.3710371748974517,0.5238003100480532,0.8969619298535387,0.0
polymer,weight_beyond_10,4389,4389,0.13709008353974636,0.13475762014116097,0.1954259417021521,0.3636495526319118,0.0
polymer,weight_beyond_20,4389,4389,0.004255396278897137,0.003892674081563734,0.0074539267603632095,0.01658070081167823,0.0
polymer,weight_beyond_30,4389,4389,8.596130024631585e-05,6.493918236341061e-05,0.00023673185316071813,0.0005888084039216833,0.0
polymer,weighted_distance_median,4389,4389,4.67730841526425,5.374011537017761,6.581793068761734,8.497058314499201,0.0
polymer,weighted_distance_p90,4389,4389,10.545320706079252,10.748023074035522,12.016655108639842,14.717336715588184,0.0
polymer,eligible_pair_distance_median,4389,4389,27.544889002463194,21.157504578754086,53.95460777581024,69.18711785820283,0.0
polymer,eligible_pair_distance_p90,4389,4389,39.75417446515384,30.400000000000002,81.61599326916648,92.11372776548247,0.0
polymer,raw_kernel_sum,4389,4389,6.683504086493037,6.53508081269741,9.110511808812852,13.513134220229775,0.796625383558486
polymer,minimum_context_kernel_sum,4389,4389,6.683504086493037,6.53508081269741,9.110511808812852,13.513134220229775,0.796625383558486
polymer,affected_weight_share,4389,4389,0.5247768003885537,0.5343307300143578,0.7166115283034618,1.0,0.0
polymer,zero_affected_weight_share,4389,4389,0.47522319961144616,0.46566926998564195,0.6887132468389362,1.0,0.0
polymer,nearest_affected_distance,4389,4378,1.5868474312248986,0.0,3.8000000000000003,8.497058314499201,0.0
polymer,affected_density_component,4389,4389,0.1290992912898169,0.13054959200624056,0.1786451074623308,0.2683996092233229,0.0
polymer,zero_affected_density_component,4389,4389,0.04860085976671494,0.04754803312199224,0.07203461994739754,0.1276887972874981,0.0
polymer,raw_count_neighborhood,4389,4389,0.40966000687315346,0.410789978051797,0.5842590540351906,1.0,0.0
structured,weight_beyond_3,1937,1937,0.6907150310308802,0.7071188880427386,0.9999999999999999,1.0000000000000004,0.19310757430518982
structured,weight_beyond_6,1937,1937,0.48050100333411294,0.48622739596093734,0.6792193028642732,1.0000000000000004,0.09130780045382297
structured,weight_beyond_10,1937,1937,0.17257616297245296,0.16906708541315085,0.28465605296581425,0.5652960233025895,0.008229462340755889
structured,weight_beyond_20,1937,1937,0.00743561333125037,0.0070683514015438915,0.013352570902244265,0.0388129110757681,0.0
structured,weight_beyond_30,1937,1937,0.00022425129684822278,0.00019334745707076548,0.00041238333496970025,0.0017090269689334478,0.0
structured,weighted_distance_median,1937,1937,5.036945171245484,5.909828562849102,7.617000693461328,10.910265053430876,0.0
structured,weighted_distance_p90,1937,1937,11.448483626004421,11.614603031311127,13.576931891640317,17.112537818150244,4.551723687910926
structured,eligible_pair_distance_median,1937,1937,45.24381714573977,42.177040225329854,62.219415037248694,103.1893719612058,9.334058120656023
structured,eligible_pair_distance_p90,1937,1937,76.14469644509825,75.37660535535878,101.22076932089557,135.12701583436697,17.69943522706528
structured,raw_kernel_sum,1937,1937,5.992691612598115,5.61915430751683,9.430611485291687,15.88358147056094,0.3975498607280228
structured,minimum_context_kernel_sum,1937,1937,5.615699337470868,5.16503311278583,9.074018214285768,15.83817938711971,0.16801854707470457
structured,affected_weight_share,1937,1937,0.5569654948580024,0.5541149643426472,0.7501963346103445,0.9510308343587699,0.06441835839604577
structured,zero_affected_weight_share,1937,1937,0.4430345051419976,0.4458850356573528,0.6307886186520829,0.9355816416039543,0.04896916564123002
structured,nearest_affected_distance,1937,1937,1.8080524158336957,0.0,5.660813937272166,11.83441747890238,0.0
structured,affected_density_component,1937,1937,0.13699421799445188,0.13744308658048365,0.18626783925887688,0.2953191060966413,0.01683253272368633
structured,zero_affected_density_component,1937,1937,0.04564698759896313,0.04488990190279108,0.06620253508859263,0.11391248474706545,0.0053332417323826665
structured,raw_count_neighborhood,1937,1937,0.42943106657424285,0.42003642881055936,0.6003795119981503,0.8458626032696598,0.0538217389910223
