density_source,half_distance,targets,median_density,q25,q75,mean_abs_change_from_h3,max_abs_change_from_h3,below_0_001
polymer,1,4389,0.1780266035562228,0.1313350480838109,0.22660337202959635,0.03466436363124972,0.2662816539434748,0
polymer,2,4389,0.17793110199995926,0.1516005851484837,0.20495248486899012,0.011929370130313604,0.12307541428618995,0
polymer,3,4389,0.1782822978982511,0.16040397864990194,0.19520564858176828,0.0,0.0,0
polymer,5,4389,0.17810701028927683,0.16445165925858485,0.19031689600336676,0.008721652524533347,0.07232637722084598,0
structured,1,1937,0.18174985213782563,0.13186715348573885,0.23001919909146173,0.034803324751300345,0.24308737200593428,0
structured,2,1937,0.18254405070768753,0.15362636462708665,0.2098690606551256,0.014794727115558307,0.09349317215478037,0
structured,3,1937,0.18281678629028075,0.1666332764447685,0.1988996361211846,0.0,0.0,0
structured,5,1937,0.1828690737949172,0.1744329870363336,0.19175106901088165,0.010800880293392955,0.06429746535972251,0
