label_set,scorer,high_threshold,min_carriers,n_variants,n_high,auc,auc_ci_lower,auc_ci_upper,sensitivity,specificity,ppv,npv,tp,fp,fn,tn
literature,insilico_clinvar_oof_prior,0.5,5,37,33,0.6856060606060606,0.07291666666666667,1.0,,,,,,,,
literature,clinvar_ordinal,0.75,5,25,20,0.75,0.4889233954451346,0.940095238095238,,,,,,,,
literature,clinvar_plp_binary,0.75,5,25,20,0.75,0.5073728354978355,0.921546052631579,0.7,0.8,0.9333333333333333,0.4,14.0,1.0,6.0,4.0
literature,alphamissense_missense_only,0.75,5,25,20,0.78,0.5690217391304347,0.9585,,,,,,,,
literature,insilico_posterior_mean_in_sample_LEAKY,0.75,5,37,30,0.9,0.7749798387096775,0.981255787037037,,,,,,,,
literature,base_oof_prior,0.75,5,37,30,0.7595238095238095,0.5981349206349206,0.9261974789915967,,,,,,,,
literature,class_oof_prior,0.75,5,37,30,0.5880952380952381,0.24725648323845667,0.8720143995098038,,,,,,,,
literature,insilico_oof_prior,0.75,5,37,30,0.5761904761904761,0.2240301724137931,0.8865482954545453,,,,,,,,
literature,clinvar_oof_prior,0.75,5,37,30,0.5523809523809524,0.21816919191919196,0.9086143695014662,,,,,,,,
literature,insilico_clinvar_oof_prior,0.75,5,37,30,0.5904761904761905,0.26642857142857146,0.922505224660397,,,,,,,,
