gene,scenario,supported,shared,median_density,mean_absolute_change,max_absolute_change
KCNQ1,9U7F_ca_h2,976,975,0.22837509796404365,0.027963877975609622,0.21321046550261236
KCNQ1,9U7F_ca_h3,976,975,0.2500654863073244,0.01565462068959901,0.1668616587032954
KCNQ1,9U7F_ca_h5,976,975,0.2813481492610217,0.03053858187837595,0.20345183575939363
KCNQ1,9U7F_com_h2,975,975,0.21565803069367628,0.03125975953373942,0.19759305796594107
KCNQ1,9U7F_com_h3,975,975,0.24615163995051856,0.0,0.0
KCNQ1,9U7F_com_h5,975,975,0.2843462776635678,0.02701878417667216,0.1492563375467153
KCNQ1,9UC8_ca_h2,949,944,0.22872225657967088,0.028394045433081695,0.23765308769460647
KCNQ1,9UC8_ca_h3,949,944,0.25352121258071014,0.015590220128702264,0.17864603897253262
KCNQ1,9UC8_ca_h5,949,944,0.28643765825634154,0.030320842747540037,0.20292815189064817
KCNQ1,9UC8_com_h2,949,944,0.21512958777582739,0.03306666930832067,0.1910624505781084
KCNQ1,9UC8_com_h3,949,944,0.2498190275793711,0.009262421037467203,0.11768020629351694
KCNQ1,9UC8_com_h5,949,944,0.2917690194458282,0.029077544025392667,0.18864235106088706
