gene,dimension,stratum,variants,posterior_median,below_0_10,at_or_above_0_50,at_or_above_0_90,gnomad_zero,gnomad_positive,gnomad_count_sum,affected_sum,literature_carrier_sum,literature_n_median,n_one,affected_one_n_one,n_at_most_5,literature_n_at_most_5,all_literature_carriers_affected,zero_affected,truncating,missing_alphamissense,clinvar_none,prior_median,prior_weight_median,posterior_interval_width_median
LDLR,feature_status,truncating=False;alphamissense_missing=True,152,0.9607547729847807,0,152,144,151,1,2.0,694.0,723.0,1.0,91,91,132,132,142,0,0,152,149,0.9561404538142018,0.9090909090909091,0.20036351415785486
LDLR,feature_status,truncating=True;alphamissense_missing=True,279,0.9376659864769852,0,279,246,255,24,34.0,1141.0,1192.0,1.0,135,135,236,239,259,0,279,279,208,0.93075957290639,0.8333333333333334,0.25088365760272446
BRCA2,band,all,5962,0.1037148028438724,2907,664,25,4563,1399,2006331.0,10678.0,13228.0,1.0,3802,3748,5510,5732,5548,128,1942,2280,2005,0.009584253377471048,0.9090909090909091,0.32217928263437257
BRCA2,band,below_0_10,2907,0.0927067749397943,2907,0,0,1888,1019,2004683.0,3490.0,4338.0,1.0,1855,1817,2697,2863,2690,108,5,1,142,0.0029260482396013,0.9090909090909091,0.3045643900811323
BRCA2,band,mode_0_09_to_0_11_inclusive,1997,0.0940311549433286,1866,0,0,1919,78,650.0,2065.0,2177.0,1.0,1918,1918,1981,1989,1985,0,3,0,105,0.0030931641154147,0.9090909090909091,0.3106262022608491
BRCA2,band,mode_0_30_to_0_36_inclusive,1327,0.3233864679035481,0,0,0,1280,47,349.0,1617.0,1791.0,1.0,1262,1262,1313,1323,1310,0,1290,1290,1050,0.2554004733443414,0.9090909090909091,0.5144478850687783
BRCA2,band,at_or_above_0_90,25,0.9222050712789276,0,25,25,25,0,0.0,27.0,27.0,1.0,23,23,25,25,25,0,0,0,1,0.9096765084827958,0.9090909090909091,0.28354522035911356
BRCA2,band,clinvar_none_at_or_above_0_90,1,0.9239599349134318,0,1,1,1,0,0.0,1.0,1.0,1.0,1,1,1,1,1,0,0,0,1,0.9197951849608196,0.9090909090909091,0.27557669271470087
BRCA2,band,below_0_10_gnomad_zero,1888,0.09379016838778155,1888,0,0,1888,0,0.0,1846.0,1942.0,1.0,1855,1817,1885,1885,1817,42,3,0,126,0.0029807284476661,0.9090909090909091,0.3100022705851119
BRCA2,band,mode_0_09_to_0_11_n_one,1918,0.09401844044658664,1810,0,0,1918,0,0.0,1918.0,1918.0,1.0,1918,1918,1918,1918,1918,0,3,0,105,0.0030364274509077,0.9090909090909091,0.3109034323689207
BRCA2,band,mode_0_30_to_0_36_n_one,1262,0.323266624155712,0,0,0,1262,0,0.0,1262.0,1262.0,1.0,1262,1262,1262,1262,1262,0,1242,1242,1040,0.2554004733443414,0.9090909090909091,0.5148569670520502
BRCA2,band,gnomad_zero,4563,0.3195512606455608,1888,579,25,4563,0,0.0,7552.0,8775.0,1.0,3802,3748,4446,4446,4374,60,1826,2163,1985,0.2554004733443414,0.9090909090909091,0.4214965864833534
BRCA2,band,gnomad_positive,1399,0.085745997914441,1019,85,0,0,1399,2006331.0,3126.0,4453.0,1.0,0,0,1064,1286,1174,68,116,117,20,0.0032098276235197,0.7692307692307693,0.28443328070584123
BRCA2,band,n_one,3802,0.1029193143504247,1855,395,23,3802,0,0.0,3748.0,3802.0,1.0,3802,3748,3802,3802,3748,54,1250,1509,1449,0.0125663808560388,0.9090909090909091,0.32650626966195195
BRCA2,band,literature_n_at_least_10,129,0.4679952326057916,31,58,0,53,76,1963602.0,3355.0,5420.0,19.0,0,0,0,0,23,1,53,63,48,0.2554004733443414,0.2702702702702703,0.23219264322919264
BRCA2,band,literature_has_unaffected,414,0.08805524910677925,217,72,0,189,225,1976557.0,3312.0,5862.0,3.0,54,0,209,257,0,128,94,117,124,0.0039344074904381,0.6666666666666666,0.2456705356509716
BRCA2,clinvar_simple,B/LB,772,0.0932308252617053,663,13,1,480,292,2003351.0,1837.0,2600.0,1.0,461,457,626,725,686,17,6,6,0,0.003008449428773,0.9090909090909091,0.30566950459842857
BRCA2,clinvar_simple,Conflicting,610,0.09351211793019121,526,21,3,423,187,429.0,632.0,675.0,1.0,402,400,592,607,586,11,0,0,0,0.0031802568470506,0.9090909090909091,0.3079946564525208
BRCA2,clinvar_simple,P/LP,493,0.3263105497317038,8,66,5,347,146,443.0,1313.0,1413.0,1.0,216,216,424,445,455,0,436,437,0,0.2554004733443414,0.8333333333333334,0.5072517047685285
BRCA2,clinvar_simple,VUS,2082,0.0936886177885145,1568,132,15,1328,754,2086.0,2221.0,2750.0,1.0,1274,1258,1959,2046,1940,56,5,4,0,0.0033930971639991,0.9090909090909091,0.308943818566577
BRCA2,clinvar_simple,none,2005,0.3250278242892481,142,432,1,1985,20,22.0,4675.0,5790.0,1.0,1449,1417,1909,1909,1881,44,1495,1833,2005,0.2554004733443414,0.9090909090909091,0.5126573341117375
BRCA2,vclass,frameshift,1271,0.3243684503443359,1,69,0,1270,1,1.0,2581.0,2763.0,1.0,886,885,1208,1208,1221,3,1271,1270,1270,0.2554004733443414,0.9090909090909091,0.513477589475565
BRCA2,vclass,indel_cdna,151,0.675596534447792,1,149,0,150,1,1.0,212.0,219.0,1.0,121,119,146,146,145,2,0,149,150,0.6428786690922834,0.9090909090909091,0.5139408139016992
BRCA2,vclass,inframe_indel,89,0.6759449127403133,1,88,0,88,1,2.0,129.0,139.0,1.0,73,68,85,85,80,5,0,88,88,0.6428786690922834,0.9090909090909091,0.5147169816395879
BRCA2,vclass,missense,3733,0.0937361645698118,2870,306,25,2478,1255,1994077.0,6008.0,8228.0,1.0,2342,2298,3423,3626,3429,116,0,102,265,0.0033001945682272,0.9090909090909091,0.3085395648778408
BRCA2,vclass,nonsense,537,0.3249692220038866,4,33,0,423,114,12150.0,1400.0,1510.0,1.0,279,278,481,495,503,1,537,533,92,0.2554004733443414,0.9090909090909091,0.510991318568199
BRCA2,vclass,splice,133,0.3244752304230416,0,11,0,133,0,0.0,286.0,305.0,1.0,85,84,125,125,124,1,133,132,133,0.2554004733443414,0.9090909090909091,0.5126541637934414
BRCA2,vclass,start_lost,1,0.2955741679327464,0,0,0,0,1,1.0,5.0,6.0,6.0,0,0,0,0,0,0,1,0,0,0.0014679000958638,0.5882352941176471,0.40797708906704716
BRCA2,vclass,substitution_cdna,47,0.0936041002330047,30,8,0,21,26,99.0,57.0,58.0,1.0,16,16,42,47,46,0,0,6,7,0.0035867938894735,0.8333333333333334,0.3123417675377562
BRCA2,is_truncating,False,4020,0.09399447986784805,2902,551,25,2737,1283,1994179.0,6406.0,8644.0,1.0,2552,2501,3696,3904,3700,123,0,345,510,0.0034564757373685,0.9090909090909091,0.3096040865410169
BRCA2,is_truncating,True,1942,0.3244828490238556,5,113,0,1826,116,12152.0,4272.0,4584.0,1.0,1250,1247,1814,1828,1848,5,1942,1935,1495,0.2554004733443414,0.9090909090909091,0.5127929135184501
BRCA2,feature_status,truncating=False;alphamissense_missing=False,3675,0.0936198658911033,2902,208,25,2395,1280,1994175.0,5113.0,6655.0,1.0,2288,2244,3368,3576,3379,116,0,0,170,0.0032396724827955,0.9090909090909091,0.3081585012020742
BRCA2,feature_status,truncating=False;alphamissense_missing=True,345,0.6759449127403133,0,343,0,342,3,4.0,1293.0,1989.0,1.0,264,257,328,328,321,7,0,345,340,0.6428786690922834,0.9090909090909091,0.5133361822980589
BRCA2,feature_status,truncating=True;alphamissense_missing=False,7,0.0933554204014857,4,0,0,5,2,2.0,11.0,12.0,1.0,5,5,6,6,6,0,7,0,2,0.0008732356112101,0.9090909090909091,0.3133412397227941
BRCA2,feature_status,truncating=True;alphamissense_missing=True,1935,0.3245107749959223,1,113,0,1821,114,12150.0,4261.0,4572.0,1.0,1245,1242,1808,1822,1842,5,1935,1935,1493,0.2554004733443414,0.9090909090909091,0.512817654168153
KCNQ1,band,all,691,0.711535171876154,19,458,27,539,152,7225.0,8202.0,10376.0,2.0,246,231,464,510,460,35,170,291,314,0.7348925010351965,0.7692307692307693,0.42055407663582967
KCNQ1,band,below_0_10,19,0.0447017827172675,19,0,0,2,17,6485.0,122.0,263.0,2.0,2,0,3,12,4,5,0,1,2,0.0446838025040034,0.2631578947368421,0.1433565862904964
KCNQ1,band,mode_0_09_to_0_11_inclusive,7,0.1026235954271203,1,0,0,0,7,71.0,9.0,56.0,1.0,0,0,3,6,5,1,0,0,0,0.0597477173990422,0.625,0.2718196948442222
KCNQ1,band,mode_0_30_to_0_36_inclusive,30,0.3377856070126921,0,0,0,25,5,22.0,85.0,134.0,2.0,1,1,23,24,19,1,1,22,21,0.2062008430240162,0.8333333333333334,0.4955396610956394
KCNQ1,band,at_or_above_0_90,27,0.9220790786280866,0,27,27,22,5,10.0,2029.0,2106.0,32.0,0,0,0,0,17,0,2,2,2,0.8017993361563583,0.23809523809523808,0.15065583394319404
KCNQ1,band,clinvar_none_at_or_above_0_90,2,0.9597161226323391,0,2,2,2,0,0.0,585.0,585.0,292.5,0,0,0,0,2,0,2,2,2,0.7348925010351965,0.15162907268170425,0.09115162615323247
KCNQ1,band,below_0_10_gnomad_zero,2,0.0578262894851536,2,0,0,2,0,0.0,0.0,2.0,1.0,2,0,2,2,0,2,0,0,2,0.06430319276956176,0.9090909090909091,0.24412312108862166
KCNQ1,band,mode_0_09_to_0_11_n_one,0,,0,0,0,0,0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,,,
KCNQ1,band,mode_0_30_to_0_36_n_one,1,0.3569721153201511,0,0,0,1,0,0.0,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0.290890905484434,0.9090909090909091,0.5281205168784441
KCNQ1,band,gnomad_zero,539,0.7573791313758751,2,394,22,539,0,0.0,4555.0,5412.0,2.0,246,231,427,427,391,29,153,269,310,0.7348925010351965,0.8333333333333334,0.4430854446926421
KCNQ1,band,gnomad_positive,152,0.4003963309243483,17,64,5,0,152,7225.0,3647.0,4964.0,4.5,0,0,37,83,69,6,17,22,4,0.465776323172635,0.47619047619047616,0.3324158455628624
KCNQ1,band,n_one,246,0.7571630530505333,2,155,0,246,0,0.0,231.0,246.0,1.0,246,231,246,246,231,15,78,147,176,0.7348925010351965,0.9090909090909091,0.4697180913927127
KCNQ1,band,literature_n_at_least_10,117,0.7139159689839032,7,94,27,64,53,6472.0,7051.0,8968.0,24.0,0,0,0,0,24,2,17,26,19,0.7677496253899526,0.2702702702702703,0.2340077920621042
KCNQ1,band,literature_has_unaffected,231,0.6606395352301274,15,158,10,148,83,6877.0,6266.0,8440.0,6.0,15,0,82,101,0,35,56,79,77,0.7348925010351965,0.5555555555555556,0.37761136357109526
KCNQ1,clinvar_simple,B/LB,11,0.0365592534870002,7,1,0,2,9,6357.0,128.0,239.0,10.0,1,1,2,3,3,1,1,3,0,0.0562867076354013,0.033444816053511704,0.0422645344314049
KCNQ1,clinvar_simple,Conflicting,17,0.8220393321800715,0,13,1,12,5,22.0,100.0,127.0,4.0,3,3,10,12,13,0,1,1,0,0.7756263233937579,0.7142857142857143,0.35654878436022086
KCNQ1,clinvar_simple,P/LP,229,0.7726814222050639,0,212,23,162,67,265.0,6418.0,8111.0,5.0,39,36,109,116,119,7,58,65,0,0.7878627358377259,0.625,0.375966596875544
KCNQ1,clinvar_simple,VUS,120,0.34190633983777374,10,46,1,53,67,569.0,286.0,418.0,2.0,27,26,68,103,88,5,4,4,0,0.30779987328898084,0.7142857142857143,0.3890082407900769
KCNQ1,clinvar_simple,none,314,0.6680197819167628,2,186,2,310,4,12.0,1270.0,1481.0,1.0,176,165,275,276,237,22,106,218,314,0.7348925010351965,0.9090909090909091,0.46698681617522475
KCNQ1,vclass,frameshift,82,0.7579007399866708,0,78,1,79,3,9.0,218.0,320.0,1.0,42,39,64,66,52,8,82,82,70,0.7348925010351965,0.9090909090909091,0.4641485784760955
KCNQ1,vclass,indel_cdna,12,0.27772337613020615,0,1,0,11,1,32.0,27.0,33.0,1.5,6,6,9,9,9,0,0,12,10,0.2062008430240162,0.8712121212121212,0.48825455694661035
KCNQ1,vclass,inframe_indel,29,0.2809381294931593,0,4,0,28,1,1.0,94.0,116.0,2.0,13,12,25,25,20,3,0,29,28,0.2062008430240162,0.8333333333333334,0.49170108691956566
KCNQ1,vclass,missense,443,0.716118880430452,18,290,25,314,129,5846.0,6660.0,8444.0,2.0,125,116,263,302,285,20,0,47,138,0.7749415457694087,0.7142857142857143,0.3871663488988347
KCNQ1,vclass,nonsense,42,0.7591635850993421,0,40,0,34,8,52.0,457.0,675.0,2.0,17,16,32,34,32,1,42,42,14,0.7348925010351965,0.8333333333333334,0.452877905349932
KCNQ1,vclass,splice,45,0.7578873690760997,0,43,1,40,5,75.0,673.0,701.0,2.0,19,18,36,37,29,3,45,45,21,0.7348925010351965,0.8333333333333334,0.463019105675539
KCNQ1,vclass,start_lost,1,0.6856173732976418,0,1,0,0,1,3.0,5.0,5.0,5.0,0,0,0,1,1,0,1,1,1,0.7348925010351965,0.5555555555555556,0.409959943561499
KCNQ1,vclass,substitution_cdna,37,0.2778702209053908,1,1,0,33,4,1207.0,68.0,82.0,1.0,24,24,35,36,32,0,0,33,32,0.2062008430240162,0.9090909090909091,0.4910302574357016
KCNQ1,is_truncating,False,521,0.644568257904694,19,296,25,386,135,7086.0,6849.0,8675.0,2.0,168,158,332,372,346,23,0,121,208,0.7176397987409285,0.7692307692307693,0.4034493212207855
KCNQ1,is_truncating,True,170,0.7580362820353125,0,162,2,153,17,139.0,1353.0,1701.0,2.0,78,73,132,138,114,12,170,170,106,0.7348925010351965,0.8333333333333334,0.46310637750806205
KCNQ1,feature_status,truncating=False;alphamissense_missing=False,400,0.749626209307154,18,287,25,270,130,5857.0,6514.0,8272.0,3.0,99,91,225,265,248,18,0,0,96,0.7899491097948133,0.7142857142857143,0.37911674698075537
KCNQ1,feature_status,truncating=False;alphamissense_missing=True,121,0.2791628000391265,1,9,0,116,5,1229.0,335.0,403.0,1.0,69,67,107,107,98,5,0,121,112,0.2062008430240162,0.9090909090909091,0.491553978536219
KCNQ1,feature_status,truncating=True;alphamissense_missing=True,170,0.7580362820353125,0,162,2,153,17,139.0,1353.0,1701.0,2.0,78,73,132,138,114,12,170,170,106,0.7348925010351965,0.8333333333333334,0.46310637750806205
