stratum,bin_left,bin_right,count
Positive gnomAD count added as unaffected,0.2,0.22,11
Positive gnomAD count added as unaffected,0.22,0.24,7
Positive gnomAD count added as unaffected,0.24,0.26,6
Positive gnomAD count added as unaffected,0.26,0.28,7
Positive gnomAD count added as unaffected,0.28,0.3,35
Positive gnomAD count added as unaffected,0.3,0.32,8
Positive gnomAD count added as unaffected,0.32,0.34,8
Positive gnomAD count added as unaffected,0.34,0.36,31
Positive gnomAD count added as unaffected,0.36,0.38,5
Positive gnomAD count added as unaffected,0.38,0.4,12
Positive gnomAD count added as unaffected,0.4,0.42,4
Positive gnomAD count added as unaffected,0.42,0.44,7
Positive gnomAD count added as unaffected,0.44,0.46,11
Positive gnomAD count added as unaffected,0.46,0.48,6
Positive gnomAD count added as unaffected,0.48,0.5,2
Positive gnomAD count added as unaffected,0.5,0.52,10
Positive gnomAD count added as unaffected,0.52,0.54,4
Positive gnomAD count added as unaffected,0.54,0.56,9
Positive gnomAD count added as unaffected,0.56,0.58,3
Positive gnomAD count added as unaffected,0.58,0.6,5
Positive gnomAD count added as unaffected,0.6,0.62,8
Positive gnomAD count added as unaffected,0.62,0.64,1
Positive gnomAD count added as unaffected,0.64,0.66,6
Positive gnomAD count added as unaffected,0.66,0.68,3
Positive gnomAD count added as unaffected,0.68,0.7000000000000001,2
Positive gnomAD count added as unaffected,0.7000000000000001,0.72,4
Positive gnomAD count added as unaffected,0.72,0.74,4
Positive gnomAD count added as unaffected,0.74,0.76,3
Positive gnomAD count added as unaffected,0.76,0.78,3
Positive gnomAD count added as unaffected,0.78,0.8,2
Positive gnomAD count added as unaffected,0.8,0.8200000000000001,6
Positive gnomAD count added as unaffected,0.8200000000000001,0.84,8
Positive gnomAD count added as unaffected,0.84,0.86,4
Positive gnomAD count added as unaffected,0.86,0.88,0
Positive gnomAD count added as unaffected,0.88,0.9,0
Positive gnomAD count added as unaffected,0.9,0.92,0
Positive gnomAD count added as unaffected,0.92,0.9400000000000001,0
Positive gnomAD count added as unaffected,0.9400000000000001,0.96,0
Positive gnomAD count added as unaffected,0.96,0.98,0
Positive gnomAD count added as unaffected,0.98,1.0,0
