cohort,model,support_stratum,mae_empirical_posterior,mse_empirical_posterior,mae_observed_fraction,mse_observed_fraction,mean_beta_binomial_nll
all_supported,density_fit,all,0.0794515181221177,0.007713025872865751,0.41134717817583405,0.26354255525954395,1.2346927871849365
all_supported,density_unfitted,all,0.07855047702329178,0.00811809478306443,0.40995561999751523,0.2627920304909351,1.235520053136912
all_supported,empirical_prior,all,0.0792448069353949,0.008659086210131232,0.4113850071172373,0.279050917163925,1.2618360974751668
all_supported,intercept_only,all,0.07981155826700992,0.007739118154755703,0.41173753448148886,0.2638283003531309,1.2356614282625928
all_supported,sequence_fit,all,0.07940951520927343,0.007708287114710609,0.4113001458228954,0.26348857195636677,1.2343430072240114
all_supported,sequence_unfitted,all,0.07845601600321217,0.008019910587206958,0.410026064843346,0.26261134891902943,1.233754975307588
all_supported,density_fit,polymer,0.07906736257849298,0.00761492398540122,0.4080726015938976,0.2605433703109218,1.2262705208913698
all_supported,density_unfitted,polymer,0.07754919394775109,0.007938199355634345,0.40608228380778966,0.2598401247427389,1.2248552075268897
all_supported,empirical_prior,polymer,0.07860359523981131,0.008489034482896382,0.4078497777825531,0.27566468298749985,1.2507389153101451
all_supported,intercept_only,polymer,0.07958639369189972,0.007662595345755569,0.4086267163890011,0.2608154196851833,1.227820342528633
all_supported,sequence_fit,polymer,0.07898429037662885,0.007608230951581912,0.4079870231065073,0.260487773475267,1.225934835168564
all_supported,sequence_unfitted,polymer,0.07744655093430089,0.007870516783132598,0.40610152828356827,0.25967597738193876,1.22380874086408
all_supported,density_fit,structured,0.08032196658931898,0.007935312493455233,0.4187669595997471,0.27033833364854887,1.2537765903663847
all_supported,density_unfitted,structured,0.0808192593766981,0.00852571534630173,0.41873211588636683,0.2694806801186239,1.2596852608717533
all_supported,empirical_prior,structured,0.08069771252750453,0.009044402178553412,0.4193953951141032,0.28672370074695536,1.2869809258294669
all_supported,intercept_only,structured,0.0803217530631682,0.007912509279537109,0.41878625962755434,0.27065511153104604,1.2534283489060365
all_supported,sequence_fit,structured,0.08037302155438293,0.007935001879796746,0.4188072679716962,0.2702880064083787,1.2533948746227515
all_supported,sequence_unfitted,structured,0.08074333773137511,0.008358418282654746,0.4189185743739936,0.2692625340900624,1.2562918999191297
am_common,am_fit,all,0.006642855125002306,0.0009805333265492653,0.7153562988302878,0.5195133530593378,1.333605846999753
am_common,am_plus_density,all,0.0067969918040322675,0.0009809229923577608,0.7153579897123433,0.5195141330125687,1.3336134720072312
am_common,am_plus_sequence,all,0.006875766817336795,0.000980796175871277,0.7153554068524065,0.5195105904339801,1.3336068001656656
am_common,density_fit,all,0.006702800114052061,0.0009801999527636058,0.7153528719717747,0.5195103614587835,1.3336038348951345
am_common,density_unfitted,all,0.08956754419660626,0.009282788825696862,0.7992438571750143,0.6510739315986516,1.7346070789950745
am_common,empirical_prior,all,0.12062978017458659,0.015324013326271124,0.830340673630482,0.7027365967535004,1.9190912324032312
am_common,intercept_only,all,0.006356378206663874,0.0009798195932857975,0.7153509709392915,0.5195095359776162,1.33359617101938
am_common,sequence_fit,all,0.00679491157972785,0.00098007012657994,0.715350240196092,0.5195068097243216,1.3335971939553
am_common,sequence_unfitted,all,0.0892046525759556,0.009113367742401336,0.7988896423170667,0.6504112594376713,1.7308150390434827
am_common,am_fit,polymer,0.007080617238317273,0.0011583036677344399,0.7130454266364271,0.51741274019816,1.3339898145772053
am_common,am_plus_density,polymer,0.007231566740463184,0.001158865129748524,0.7130453768033451,0.5174102656846454,1.333994397915365
am_common,am_plus_sequence,polymer,0.0073290068988456115,0.0011588503096478435,0.7130495051721697,0.5174159785048109,1.33401511354387
am_common,density_fit,polymer,0.007200613869149173,0.0011574472193313246,0.7129033910599959,0.5172059742366223,1.333460042716687
am_common,density_unfitted,polymer,0.08994999837386917,0.009476715399653734,0.7967826183179194,0.6488279513788034,1.7357904925389782
am_common,empirical_prior,polymer,0.12040531013267619,0.015417938130012692,0.8272642852647093,0.6994967942750477,1.916863559778918
am_common,intercept_only,polymer,0.006859965868930095,0.0011567969086075445,0.7128920086969168,0.5171919496380181,1.3334116251841799
am_common,sequence_fit,polymer,0.007302931483254131,0.0011574256187999537,0.7129067113724731,0.5172105439664466,1.3334777501178487
am_common,sequence_unfitted,polymer,0.08968081678242391,0.009366384543210489,0.7965135627763307,0.6483333502647723,1.733082358539543
am_common,am_fit,structured,0.005673791985270881,0.0005870075285410578,0.7204718193278087,0.5241634276836544,1.332755867490692
am_common,am_plus_density,structured,0.005834984038770663,0.000587016893347439,0.720477363587818,0.5241714119692538,1.3327702257661487
am_common,am_plus_sequence,structured,0.005872440483056591,0.000586642153237681,0.720459924247119,0.52414738094385,1.332702926960922
am_common,density_fit,structured,0.005600802143367003,0.0005878320720709632,0.72077522715255,0.5246115263351916,1.333922144076485
am_common,density_unfitted,structured,0.08872091486403276,0.008853498375655583,0.8046922406278996,0.6560458023417338,1.7319873857654071
am_common,empirical_prior,structured,0.12112668394257617,0.0151160943162791,0.8371507983034319,0.7099084671972546,1.9240225760758565
am_common,intercept_only,structured,0.0052415986807924945,0.0005880492969752628,0.7207943147065992,0.524639919413137,1.3340046955605493
am_common,sequence_fit,structured,0.005670320511238045,0.0005874626694433297,0.7207594193868383,0.5245899963165407,1.3338616038176916
am_common,sequence_unfitted,structured,0.08815057967445732,0.008553270721806708,0.804149510702115,0.6550110754699863,1.7257959300735712
