run_id,score_lane,gene,pmid,tp,fp,fn,phenotype_capture,phenotype_abs_error,phenotype_supplied_fields,phenotype_positive_supplied_fields,phenotype_wrong_supplied_fields,carriers_asserted,carriers_supplied,carriers_supplied_exact,carriers_wrong_supplied,carriers_abs_error,carriers_missing_positive_fields,carriers_missing_gold_zero_fields,carriers_overcount_units,carriers_supplied_undercount_units,carriers_identity_miss_error,carriers_abstained_error,carriers_supplied_error,affected_asserted,affected_supplied,affected_supplied_exact,affected_wrong_supplied,affected_abs_error,affected_missing_positive_fields,affected_missing_gold_zero_fields,affected_overcount_units,affected_supplied_undercount_units,affected_identity_miss_error,affected_abstained_error,affected_supplied_error,unaffected_asserted,unaffected_supplied,unaffected_supplied_exact,unaffected_wrong_supplied,unaffected_abs_error,unaffected_missing_positive_fields,unaffected_missing_gold_zero_fields,unaffected_overcount_units,unaffected_supplied_undercount_units,unaffected_identity_miss_error,unaffected_abstained_error,unaffected_supplied_error
20260902_false_zero_recovery_gold118,trusted legacy (paper plus linkage),RYR2,27839804,1,1,0,all_supplied,0,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
20260902_false_zero_recovery_gold118,trusted legacy (paper plus linkage),SCN5A,15898185,1,0,10,all_na,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0
20260902_false_zero_recovery_gold118,trusted legacy (paper plus linkage),SCN5A,16301357,1,0,0,all_na,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
20260902_false_zero_recovery_gold118,trusted legacy (paper plus linkage),SCN5A,16929919,2,2,0,all_na,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
20260902_false_zero_recovery_gold118,trusted legacy (paper plus linkage),SCN5A,19305639,1,0,0,all_na,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
20260902_false_zero_recovery_gold118,trusted legacy (paper plus linkage),SCN5A,19549036,1,0,0,all_na,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
20260902_false_zero_recovery_gold118,trusted legacy (paper plus linkage),SCN5A,20038812,1,1,0,all_na,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
20260902_false_zero_recovery_gold118,trusted legacy (paper plus linkage),SCN5A,20539757,11,14,0,all_na,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0
20260902_false_zero_recovery_gold118,trusted legacy (paper plus linkage),SCN5A,21193062,1,0,0,partial,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
20260902_false_zero_recovery_gold118,trusted legacy (paper plus linkage),SCN5A,22101522,1,0,0,all_na,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
20260902_false_zero_recovery_gold118,trusted legacy (paper plus linkage),SCN5A,22966897,0,3,2,all_na,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
20260902_false_zero_recovery_gold118,trusted legacy (paper plus linkage),SCN5A,23538678,1,0,0,partial,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
20260902_false_zero_recovery_gold118,trusted legacy (paper plus linkage),SCN5A,24573164,20,7,0,all_na,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0
20260902_false_zero_recovery_gold118,trusted legacy (paper plus linkage),SCN5A,26820365,1,0,0,partial,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
20260902_false_zero_recovery_gold118,trusted legacy (paper plus linkage),SCN5A,28087622,6,5,1,all_na,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0
20260902_false_zero_recovery_gold118,trusted legacy (paper plus linkage),SCN5A,28339995,1,0,0,partial,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
20260902_false_zero_recovery_gold118,trusted legacy (paper plus linkage),SCN5A,29544605,6,1,0,partial,0,6,6,0,6,6,6,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0
20260902_false_zero_recovery_gold118,trusted legacy (paper plus linkage),SCN5A,29709101,11,3,0,all_supplied,0,22,18,0,11,11,11,0,0,0,0,0,0,0,0,0,11,11,11,0,0,0,0,0,0,0,0,0,11,11,11,0,0,0,0,0,0,0,0,0
20260902_false_zero_recovery_gold118,trusted legacy (paper plus linkage),SCN5A,32533946,83,44,0,all_na,0,0,0,0,83,0,0,0,0,0,83,0,0,0,0,0,83,0,0,0,0,0,83,0,0,0,0,0,83,0,0,0,0,0,83,0,0,0,0,0
20260903_protocol_cont120_01_candidate,paper-derived primary,KCNH2,27555138,1,0,0,partial,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
20260903_protocol_cont120_01_candidate,paper-derived primary,KCNQ1,15528464,1,0,0,all_na,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
20260903_protocol_cont120_01_candidate,paper-derived primary,KCNQ1,16155735,1,0,0,partial,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
20260903_protocol_cont120_01_candidate,paper-derived primary,KCNQ1,19056345,4,0,0,all_na,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0
