model,fit,max_r_hat,min_ess_bulk,min_ess_tail,divergences,draws,chains,rows,variants,mixture,features
base,full,1.0,1053.0,1368.0,0,1000,4,389,233,True,
class,full,1.0,1175.0,1475.0,0,1000,4,389,233,True,trunc
insilico,full,1.0,958.0,840.0,0,1000,4,389,233,True,"trunc,am,am_missing"
clinvar,full,1.0,957.0,1134.0,0,1000,4,389,233,True,"trunc,clinvar_plp,clinvar_blb,clinvar_none"
insilico_clinvar,full,1.0,1072.0,1777.0,0,1000,4,389,233,True,"trunc,am,am_missing,clinvar_plp,clinvar_blb,clinvar_none"
